Hail ID,Date/Time,Latitude,Longitude,Nearest town,State,Hail size,Damage total,Comments,
3132,3/6/10 4:00,-37.8776,145.1273,MOUNT WAVERLEY,VIC,4.2,,Vehicles dented. NULL,
3133,3/6/10 4:30,-37.8727,145.3446,FERNY CREEK,VIC,7,,Windows broken. Tiles cracked. Iron roofs damaged. Vehicles dented. Windscreens broken. Crops flattened. NULL,
3134,3/6/10 4:00,-37.8204,144.9958,RICHMOND,VIC,3,,NULL NULL,
3135,3/6/10 4:00,-37.8784,145.0681,EAST MALVERN,VIC,2,,Vehicles dented. Leaves and flowers stripped from trees. NULL,
3136,3/6/10 4:15,-37.8638,145.2856,BORONIA,VIC,4.2,,Vehicles dented. Crops flattened. NULL,
3137,3/6/10 4:10,-37.8776,145.1273,MOUNT WAVERLEY,VIC,4.5,,Vehicles dented. NULL,
3138,3/6/10 3:30,-37.8436,144.974,MELBOURNE,VIC,6,,Windows broken. Skylight cracked. NULL,
3139,3/6/10 2:45,-37.1052,144.0956,GREEN GULLY,VIC,2,,NULL NULL,
3140,3/6/10 3:30,-37.8776,145.1273,MOUNT WAVERLEY,VIC,3,,Windows broken. NULL,
3141,3/6/10 4:18,-37.8876,145.0793,CHADSTONE CENTRE,VIC,2,,NULL NULL,
3142,3/6/10 3:30,-37.8036,144.9588,CARLTON,VIC,3,,NULL NULL,
3143,3/6/10 4:30,-37.8316,145.2409,HEATHMONT,VIC,3.5,,NULL NULL,
3144,3/6/10 4:15,-37.852,145.1075,BURWOOD,VIC,3,,NULL NULL,
3145,3/6/10 3:40,-37.8792,145.0579,MALVERN EAST,VIC,4,,NULL NULL,
3146,3/6/10 4:00,-37.8036,144.9588,CARLTON,VIC,3,,Leaves stripped from trees. NULL,
3147,3/6/10 4:00,-37.8631,145.0651,GLEN IRIS,VIC,5,,Windows broken. Tiles cracked. Crops flattened. Door and window frames diveted and paint removed. NULL,
3148,3/6/10 4:30,-37.8809,145.1636,GLEN WAVERLEY,VIC,2,,Windscreens broken. Vehicles dented. Large amounts of leaf litter. NULL,
3149,3/6/10 3:50,-37.8809,145.1636,GLEN WAVERLEY,VIC,2,,Windows broken. Tiles cracked. NULL,
3150,3/6/10 2:30,-37.8036,144.9588,CARLTON,VIC,3,,Plastic skylight broken. NULL,
3151,3/6/10 4:30,-37.8944,145.3864,THE PATCH,VIC,4.2,,Vehicles dented. NULL,
3152,3/6/10 4:00,-37.8776,145.1273,MOUNT WAVERLEY,VIC,3,,NULL NULL,
3153,3/6/10 3:15,-37.2494,144.4519,KYNETON,VIC,2,,Tiles cracked. Vehicles dented. Leaves stripped off trees. NULL,
3154,3/6/10 4:04,-37.8776,145.1273,MOUNT WAVERLEY,VIC,4.3,,Leaves stripped off trees. NULL,
3155,3/6/10 3:45,-37.7285,144.9404,PASCOE VALE,VIC,2,,NULL NULL,
3156,3/6/10 4:10,-37.8776,145.1273,MOUNT WAVERLEY,VIC,2.5,,Windows broken. NULL,
3157,3/6/10 4:00,-37.892,145.2463,KNOXFIELD,VIC,7.3,,NULL NULL,
3158,3/6/10 4:10,-37.8809,145.1636,GLEN WAVERLEY,VIC,4.5,,NULL NULL,
3162,8/18/10 11:00,-36.2528,142.3947,WARRACKNABEAL,VIC,0,,Flash flooding and building damage due to large hail reported at Warracknabeal. 15 RFAs. NULL,
3163,8/18/10 11:00,-36.1131,141.6489,NETHERBY,VIC,2.9,,"Report of 28mm hail at Lake Jane, Netherby. NULL",
3164,8/18/10 12:00,-35.8111,144.211,COHUNA,VIC,1.7,,Marble sized hail at Cohuna. Large hail Kerang. Trees down Kerang and Cohuna. NULL,
3166,8/15/10 2:50,-33.7317,151.1346,TURRAMURRA,NSW,2,,"Most reports from the metropolitan area from Bureau staff were of small hail in Normanhurst, Beaumont Hills, St Ives, French's Forest, Dee Why, but this report from spotter 1.5cm to 2cm hail.  Another spotter at Oberon also reported small hail. NULL",
3176,3/22/10 15:30,-31.9364,115.8136,WEMBLEY,WA,6,,"Hail fell predominantly in the Northern and Western Suburbs of Perth but was as far north as Badgingarra and extended through some southern suburbs to Severe thunderstorms occurred on the afternoon and evening of Monday 22 March in the Central West, Lower West, and adjacent parts of the Southwest, Great Southern and Central Wheat Belt districts. In particular, severe storms moved through the Perth metropolitan area between 3:30-6:00pm causing large hail, heavy rain - flash flooding and severe winds that resulted in damage estimated at over 1 billion dollars.",
3177,3/22/10 15:30,-32.1219,115.8431,JANDAKOT,WA,6,,"NULL Severe thunderstorms occurred on the afternoon and evening of Monday 22 March in the Central West, Lower West, and adjacent parts of the Southwest, Great Southern and Central Wheat Belt districts. In particular, severe storms moved through the Perth metropolitan area between 3:30-6:00pm causing large hail, heavy rain - flash flooding and severe winds that resulted in damage estimated at over 1 billion dollars.",
3178,3/22/10 15:30,-31.9183,115.8239,GLENDALOUGH,WA,5.5,,"NULL Severe thunderstorms occurred on the afternoon and evening of Monday 22 March in the Central West, Lower West, and adjacent parts of the Southwest, Great Southern and Central Wheat Belt districts. In particular, severe storms moved through the Perth metropolitan area between 3:30-6:00pm causing large hail, heavy rain - flash flooding and severe winds that resulted in damage estimated at over 1 billion dollars.",
3179,3/22/10 15:30,-30.8586,119.7047,CARINE,WA,5,,"NULL Severe thunderstorms occurred on the afternoon and evening of Monday 22 March in the Central West, Lower West, and adjacent parts of the Southwest, Great Southern and Central Wheat Belt districts. In particular, severe storms moved through the Perth metropolitan area between 3:30-6:00pm causing large hail, heavy rain - flash flooding and severe winds that resulted in damage estimated at over 1 billion dollars.",
3180,3/22/10 15:30,-31.9289,115.8269,LAKE MONGER,WA,5,,"NULL Severe thunderstorms occurred on the afternoon and evening of Monday 22 March in the Central West, Lower West, and adjacent parts of the Southwest, Great Southern and Central Wheat Belt districts. In particular, severe storms moved through the Perth metropolitan area between 3:30-6:00pm causing large hail, heavy rain - flash flooding and severe winds that resulted in damage estimated at over 1 billion dollars.",
3212,2/28/11 8:15,-31.9652,141.4513,BROKEN HILL,NSW,1.2,,"Windows broken, iron dented, cars dented, guttering ripped off. Most common size 1cm NULL",
3213,1/19/11 6:20,-30.6415,152.9906,NAMBUCCA HEADS,NSW,3.2,,"Severe storm. hail up to 50c size. Flash flooding, Structural damage and severe lightning strikes NULL",
3214,10/22/10 5:16,-34.2234,150.9762,STANWELL TOPS,NSW,3,,"Weatherzone Poster reported driving through ""3cm hail"" at Stanwell Tops. May be exaggerated and was not measured. NULL",
3215,11/1/10 5:30,-32.6401,151.7484,EAST SEAHAM,NSW,1.9,,LG: Greater Newcastle. Second hand report through YWLM from pilot who lives under storm path. Reported small hail 1ft(33cm) deep. Destroyed/shredded a garlic corp. About fingernail size. NULL,
3216,11/8/10 5:24,-33.7151,150.7512,LLANDILO,NSW,2.4,,LGA: Sydney%D Varying wind. Hail 5-10c coin size NULL,
3217,11/8/10 5:45,-34.1817,150.6012,PICTON,NSW,2,,LGA: Wollondilly/Wingecarribee%D 20 mins duration. 2cm hail NULL,
3218,11/8/10 6:20,-35.3,149.1333,CANBERRA,NSW,2,,"LGA: Canberra%D Mostly pea sized hail, with 10% about 2cm.%D Also very heavy rain NULL",
3219,11/8/10 6:38,-33.9651,150.8012,LEPPINGTON,NSW,4.3,,LGA: Sydney NULL,
3220,11/8/10 10:15,-33.5984,150.7679,RICHMOND AERODROME,NSW,2,,LGA: Sydney NULL,
3221,11/8/10 5:50,-33.8984,150.9346,CABRAMATTA,NSW,3,,LGA: Sydney%D %D 50mm rain in 1 hour. Large number of lightning strikes with later storm @1950 local NULL,
3222,10/28/10 4:23,-27.6065,152.7758,EAST IPSWICH,QLD,4,,"0423Z golf ball hail reported at east Ipswich 0300Z structural damage and flash flooding reported from Beaudesert. 0423Z golf ball hail reported at east Ipswich. 0500Z flash flooding in Fortitude Valley. Heavily overflowing roof gutters and flash flooding at Herston at 3:00pm. Northey Street, Windsor bus stop flooded and bike track flooded at the bottom of Bryden Street, Windsor",
3223,12/15/10 6:20,-27.7659,153.1091,LOGAN VILLAGE,QLD,2.5,,"2-3 cm hail reported from Logan Village at 4:20pm. 47 knot gust at Gympie at 2:43pm. 2-3 cm hail reported from Logan Village at 4:20pm. Golf ball hail reported from Loganholme at 4:30pm. 5.5cm hail measured at Loganlea at 4:30pm. Tennis ball hail reported from Bethania at 4:40pm. ""Mini tornado"" reported from Jimboomba. Wind damage reported from Beaudesert.",
3224,12/15/10 6:30,-27.6817,153.1886,LOGANHOLME,QLD,4.3,,"Golf ball hail reported from Loganholme at 4:30pm. 47 knot gust at Gympie at 2:43pm. 2-3 cm hail reported from Logan Village at 4:20pm. Golf ball hail reported from Loganholme at 4:30pm. 5.5cm hail measured at Loganlea at 4:30pm. Tennis ball hail reported from Bethania at 4:40pm. ""Mini tornado"" reported from Jimboomba. Wind damage reported from Beaudesert.",
3225,12/15/10 6:30,-27.6776,153.1344,LOGANLEA,QLD,5.5,,"5.5cm hail measured at Loganlea at 4:30pm. 47 knot gust at Gympie at 2:43pm. 2-3 cm hail reported from Logan Village at 4:20pm. Golf ball hail reported from Loganholme at 4:30pm. 5.5cm hail measured at Loganlea at 4:30pm. Tennis ball hail reported from Bethania at 4:40pm. ""Mini tornado"" reported from Jimboomba. Wind damage reported from Beaudesert.",
3226,12/15/10 6:40,-27.7,153.1667,BETHANIA,QLD,6.7,,"Tennis ball hail reported from Bethania at 4:40pm. 47 knot gust at Gympie at 2:43pm. 2-3 cm hail reported from Logan Village at 4:20pm. Golf ball hail reported from Loganholme at 4:30pm. 5.5cm hail measured at Loganlea at 4:30pm. Tennis ball hail reported from Bethania at 4:40pm. ""Mini tornado"" reported from Jimboomba. Wind damage reported from Beaudesert.",
3227,12/16/10 5:45,-27.5706,153.1241,ROCHEDALE,QLD,4.3,,Golf ball size hail at Rochedale (no time given - but around 3:45pm). 41 knot gust at Applethorpe at 10:42am. 48/49 knot gust at Amberley at 1:26pm/1:27pm. 41 knot gust at Archerfield at 1:48pm. 90km/hr winds reported by Storm Spotter at Redland Bay between 2:10-2:30pm. 52 knot gust at Inner Beacon at about 3pm. Landsborough storm spotter reported 50mm in 15 minutes around 3pm. Reported trees down and garage door damage at Landsborough at 3:15pm. 52 knot gust Cape Moreton 3:17pm. Golf ball size hail at Rochedale (no time given - but around 3:45pm). Golf ball size hail at Mooloobaba at 4:45pm. 55 knot gust at Double Island Point at 6:00pm. 42 knot gust at Toowoomba at 6:06pm. Golf ball reported at Withcott at 6:40pm. 49 knot gust at Dalby at 8:17pm. 55mm of rainfall in 30 minutes (10-20 year ARI) at Wacol Alert in the South Brisbane Creeks ending at 1:55pm. 51mm of rainfall in 30 minutes (10-20 year ARI) at Carole Park Alert in the South Brisbane Creeks ending at 2:00pm. 44mm of rainfall in 20 minutes (10-20 year ARI) at Bribie Island Alert on the Pine/Caboolture River ending at 3:05pm. 46mm of rainfall in 20 minutes (10-20 year ARI) at Maroochydore Depot Alert on the Maroochy/Mooloolah River ending at 3:45pm. 50mm of rainfall in 20 minutes (20-50 year ARI) at Slack Ck(Reserve Pk and Loganlea Rd) Alert on the Logan River ending at 2:05pm. 41mm of rainfall in 20 minutes (10-20 year ARI) at Mount Elliot Alert on the Noosa River ending at 6:00pm.,
3228,12/16/10 6:45,-26.682,153.1177,MOOLOOLABA,QLD,4.3,,Golf ball size hail at Mooloobaba at 4:45pm. 41 knot gust at Applethorpe at 10:42am. 48/49 knot gust at Amberley at 1:26pm/1:27pm. 41 knot gust at Archerfield at 1:48pm. 90km/hr winds reported by Storm Spotter at Redland Bay between 2:10-2:30pm. 52 knot gust at Inner Beacon at about 3pm. Landsborough storm spotter reported 50mm in 15 minutes around 3pm. Reported trees down and garage door damage at Landsborough at 3:15pm. 52 knot gust Cape Moreton 3:17pm. Golf ball size hail at Rochedale (no time given - but around 3:45pm). Golf ball size hail at Mooloobaba at 4:45pm. 55 knot gust at Double Island Point at 6:00pm. 42 knot gust at Toowoomba at 6:06pm. Golf ball reported at Withcott at 6:40pm. 49 knot gust at Dalby at 8:17pm. 55mm of rainfall in 30 minutes (10-20 year ARI) at Wacol Alert in the South Brisbane Creeks ending at 1:55pm. 51mm of rainfall in 30 minutes (10-20 year ARI) at Carole Park Alert in the South Brisbane Creeks ending at 2:00pm. 44mm of rainfall in 20 minutes (10-20 year ARI) at Bribie Island Alert on the Pine/Caboolture River ending at 3:05pm. 46mm of rainfall in 20 minutes (10-20 year ARI) at Maroochydore Depot Alert on the Maroochy/Mooloolah River ending at 3:45pm. 50mm of rainfall in 20 minutes (20-50 year ARI) at Slack Ck(Reserve Pk and Loganlea Rd) Alert on the Logan River ending at 2:05pm. 41mm of rainfall in 20 minutes (10-20 year ARI) at Mount Elliot Alert on the Noosa River ending at 6:00pm.,
3229,12/16/10 8:40,-27.5537,152.0239,WITHCOTT,QLD,4.3,,Golf ball size hail reported at Withcott at 6:40pm. 41 knot gust at Applethorpe at 10:42am. 48/49 knot gust at Amberley at 1:26pm/1:27pm. 41 knot gust at Archerfield at 1:48pm. 90km/hr winds reported by Storm Spotter at Redland Bay between 2:10-2:30pm. 52 knot gust at Inner Beacon at about 3pm. Landsborough storm spotter reported 50mm in 15 minutes around 3pm. Reported trees down and garage door damage at Landsborough at 3:15pm. 52 knot gust Cape Moreton 3:17pm. Golf ball size hail at Rochedale (no time given - but around 3:45pm). Golf ball size hail at Mooloobaba at 4:45pm. 55 knot gust at Double Island Point at 6:00pm. 42 knot gust at Toowoomba at 6:06pm. Golf ball reported at Withcott at 6:40pm. 49 knot gust at Dalby at 8:17pm. 55mm of rainfall in 30 minutes (10-20 year ARI) at Wacol Alert in the South Brisbane Creeks ending at 1:55pm. 51mm of rainfall in 30 minutes (10-20 year ARI) at Carole Park Alert in the South Brisbane Creeks ending at 2:00pm. 44mm of rainfall in 20 minutes (10-20 year ARI) at Bribie Island Alert on the Pine/Caboolture River ending at 3:05pm. 46mm of rainfall in 20 minutes (10-20 year ARI) at Maroochydore Depot Alert on the Maroochy/Mooloolah River ending at 3:45pm. 50mm of rainfall in 20 minutes (20-50 year ARI) at Slack Ck(Reserve Pk and Loganlea Rd) Alert on the Logan River ending at 2:05pm. 41mm of rainfall in 20 minutes (10-20 year ARI) at Mount Elliot Alert on the Noosa River ending at 6:00pm.,
3230,12/17/10 0:00,-27.5704,151.7155,BIDDESTON,QLD,3,,3cm hail and many tree branches snapped at Biddeston (west of Toowoomba). 3cm hail and many tree branches snapped at Biddeston (west of Toowoomba). 1-2cm hail and trees down at Highfields (north of Toowoomba). Small hail reported at Currumbin at 4:20pm. Waterspout observed off the Gold Coast. Trees down at Crows Nest at 4:00pm. 104km/hr wind gust recorded at Inner Beacon at 5:54pm. 54mm of rainfall in 30 minutes (10-20 year ARI) at Wolffdene (near Beenleigh) on the Albert River at 6:55pm.,
3231,12/17/10 0:00,-27.4634,151.9458,HIGHFIELDS,QLD,2,,1-2cm hail and trees down at Highfields (north of Toowoomba) 3cm hail and many tree branches snapped at Biddeston (west of Toowoomba). 1-2cm hail and trees down at Highfields (north of Toowoomba). Small hail reported at Currumbin at 4:20pm. Waterspout observed off the Gold Coast. Trees down at Crows Nest at 4:00pm. 104km/hr wind gust recorded at Inner Beacon at 5:54pm. 54mm of rainfall in 30 minutes (10-20 year ARI) at Wolffdene (near Beenleigh) on the Albert River at 6:55pm.,
3232,12/14/10 6:36,-35.1651,149.2512,SUTTON,NSW,0,,"LGA: ACT ACT SES reports small hail accumulation to a depth of 4 inches in ""some places in the yard such as up against the shed"" in Sutton area.   NULL",
3233,12/16/10 3:00,-33.6317,151.3179,AVALON,NSW,2,,LGA: Sydney 1.5 to 2cm hail at Avalon.  NULL,
3234,12/16/10 3:00,-33.9484,150.7512,LUDDENHAM,NSW,3.5,,"LGA: Sydney Hail report provided to the Bureau in terms of photo of hailstones with ruler from Luddenham. Email recieved on the 17th Dec of ""yesterday's storm"".  NULL",
3235,12/16/10 8:00,-30.9817,151.5845,WALCHA,NSW,4.5,,Hail report mostly ~2cm hail with bigger hail jagged and measuring ~ 4.5cm across. NULL,
3236,1/3/11 1:45,-33.4167,149.5807,BATHURST,NSW,0,,"Large accumulation of small hail, causing roof of cinema in Bathurst to collapse.  Also wind guts 45kt (not quite severe), rainfall recorded only approx 10 - 20mm for the 24 hours to 9am for various sites in and around Bathurst - also not quite severe. NULL",
3237,1/3/11 6:32,-31.0817,150.9345,TAMWORTH,NSW,3,,Most hail aroun 16mm largest 30mm in diameter. NULL,
3238,1/5/11 7:40,-35.3,149.1333,CANBERRA,NSW,4.3,,LGA: ACT Golf ball hail estimated by ACT SES from storm through Canberra.  NULL,
3239,1/19/11 2:29,-30.4317,152.0345,THORA,NSW,4.3,,"2nd hand report from Spotter's son, located in Thora, NSW. NULL",
3240,1/19/11 7:20,-29.6484,152.8011,RAMORNIE,NSW,0,,Large hail of odd shapes.  Estimated size not given. NULL,
3241,2/21/11 0:00,-27.5262,152.965,FIG TREE POCKET,QLD,1.9,,"Hail 5 cent size reported at Fig Tree Pocket. Radar indication of hail near Beaudesert. Wacol observed 97mm/hr at around 1600Z. Enogerra 56mm in 30 mins, 75mm/hr. Mitchelton 70mm/hr. Hail 5 cent size reported at Fig Tree Pocket.",
3242,11/26/10 5:00,-37.6725,145.154,DIAMOND CREEK,VIC,0,,Large hail - Hail large enough to dent cars. Property damage reported.,
3243,11/7/10 3:30,-37.0009,143.9158,CARISBROOK,VIC,2,,Hail reported from storm with a very strong updraght 4km E of Carisbrook. NULL,
3244,11/7/10 4:45,-37.2979,144.2416,GLENLYON,VIC,0,,Large hail reported but no measurement provided. NULL,
3245,12/5/10 1:55,-37.346,144.1427,DAYLESFORD,VIC,2,,Hail reported just north of Daylesford. NULL,
3246,12/17/10 7:00,-38.0773,145.4779,PAKENHAM,VIC,2,,Continuous hail mostly averaging 1cm diameter. Hail covered ground. Largest hail up to 2cm diameter. NULL,
3247,1/22/11 6:00,-36.7967,147.525,MITTA MITTA,VIC,4.3,,NULL NULL,
3248,9/9/10 0:00,-37.4091,142.4113,MIRRANATWA,VIC,3.5,,Leaves stripped off trees. NULL,
3249,12/3/10 4:00,-38.5708,143.3289,SIMPSON,VIC,2,,Located 9km southwest of Simpson. NULL,
3250,5/3/11 5:30,-27.8723,153.3147,COOMERA,QLD,2.4,,NULL NULL,
3251,5/3/11 5:30,-27.9401,153.3177,PACIFIC PINES,QLD,4.3,,NULL NULL,
3252,5/30/11 8:20,-27.9156,152.9855,VERESDALE,QLD,2,,Entire roads covered. Hail precipitation was close to 100%. NULL,
3253,5/30/11 8:50,-27.9881,152.9958,BEAUDESERT,QLD,3.2,,NULL NULL,
3254,5/30/11 9:45,-27.8301,153.0313,JIMBOOMBA,QLD,3,,NULL NULL,
3255,5/31/11 6:00,-27.5401,153.0677,MOUNT GRAVATT,QLD,2.4,,NULL NULL,
3256,5/31/11 6:00,-27.4734,153.0955,CANNON HILL,QLD,2.9,,NULL NULL,
3258,4/2/11 6:30,-29.6817,152.9345,GRAFTON,NSW,2.9,,Spotter reports 20c piece sized hail at Grafton. NULL,
3263,5/30/11 6:30,-33.6984,151.2679,ELANORA HEIGHTS,NSW,0,,"Spotter reports large hail"" at Elanora Heights"," but doens't specify the size of the hail. NULL"""
3274,10/22/10 2:55,-33.6651,150.2846,BLUE MOUNTAINS RANGE,NSW,2.4,,2GB interview sites 2nd hand reports of 10c piece sized hail in Blue Mountains.  Radar data doesn't seem to support this. NULL,
3275,10/22/10 4:25,-33.4518,150.5346,bilpin,NSW,0,,"Channel 10 reports ""large hail"" in Bilpin area but do not mention/show specific size or time. NULL",
3330,1/18/11 5:30,-30.6484,153.0011,NAMBUCCA HEADS,NSW,4,,NULL NULL,
3335,8/18/10 12:00,-35.7323,143.9189,KERANG,VIC,0,,NULL NULL,
3342,10/29/10 17:30,-25.8431,133.2929,KULGERA,NT,4,0,NULL NULL,
3343,11/9/10 15:00,-19.6511,134.1897,TENNANT CREEK,NT,4.3,0,NULL NULL,
3344,11/9/10 17:00,-19.6511,134.1897,TENNANT CREEK,NT,4.3,0,NULL NULL,
